1_Arousal_1,1_Valence_1,1_Complexity_1,1_Pleasantness_1,2_Arousal_1,2_Valence_1,2_Complexity_1,2_Pleasantness_1,3_Arousal_1,3_Valence_1,3_Complexity_1,3_Pleasantness_1,4_Arousal_1,4_Valence_1,4_Complexity_1,4_Pleasantness_1,5_Arousal_1,5_Valence_1,5_Complexity_1,5_Pleasantness_1,6_Arousal_1,6_Valence_1,6_Complexity_1,6_Pleasantness_1,7_Arousal_1,7_Valence_1,7_Complexity_1,7_Pleasantness_1,8_Arousal_1,8_Valence_1,8_Complexity_1,8_Pleasantness_1,9_Arousal_1,9_Valence_1,9_Complexity_1,9_Pleasantness_1,10_Arousal_1,10_Valence_1,10_Complexity_1,10_Pleasantness_1,11_Arousal_1,11_Valence_1,11_Complexity_1,11_Pleasantness_1,12_Arousal_1,12_Valence_1,12_Complexity_1,12_Pleasantness_1,13_Arousal_1,13_Valence_1,13_Complexity_1,13_Pleasantness_1,14_Arousal_1,14_Valence_1,14_Complexity_1,14_Pleasantness_1,15_Arousal_1,15_Valence_1,15_Complexity_1,15_Pleasantness_1,16_Arousal_1,16_Valence_1,16_Complexity_1,16_Pleasantness_1,17_Arousal_1,17_Valence_1,17_Complexity_1,17_Pleasantness_1,18_Arousal_1,18_Valence_1,18_Complexity_1,18_Pleasantness_1,19_Arousal_1,19_Valence_1,19_Complexity_1,19_Pleasantness_1,20_Arousal_1,20_Valence_1,20_Complexity_1,20_Pleasantness_1,21_Arousal_1,21_Valence_1,21_Complexity_1,21_Pleasantness_1,22_Arousal_1,22_Valence_1,22_Complexity_1,22_Pleasantness_1,23_Arousal_1,23_Valence_1,23_Complexity_1,23_Pleasantness_1,24_Arousal_1,24_Valence_1,24_Complexity_1,24_Pleasantness_1,25_Arousal_1,25_Valence_1,25_Complexity_1,25_Pleasantness_1,26_Arousal_1,26_Valence_1,26_Complexity_1,26_Pleasantness_1,27_Arousal_1,27_Valence_1,27_Complexity_1,27_Pleasantness_1,28_Arousal_1,28_Valence_1,28_Complexity_1,28_Pleasantness_1,29_Arousal_1,29_Valence_1,29_Complexity_1,29_Pleasantness_1,30_Arousal_1,30_Valence_1,30_Complexity_1,30_Pleasantness_1,31_Arousal_1,31_Valence_1,31_Complexity_1,31_Pleasantness_1,32_Arousal_1,32_Valence_1,32_Complexity_1,32_Pleasantness_1,33_Arousal_1,33_Valence_1,33_Complexity_1,33_Pleasantness_1,34_Arousal_1,34_Valence_1,34_Complexity_1,34_Pleasantness_1,35_Arousal_1,35_Valence_1,35_Complexity_1,35_Pleasantness_1,36_Arousal_1,36_Valence_1,36_Complexity_1,36_Pleasantness_1,37_Arousal_1,37_Valence_1,37_Complexity_1,37_Pleasantness_1,38_Arousal_1,38_Valence_1,38_Complexity_1,38_Pleasantness_1,39_Arousal_1,39_Valence_1,39_Complexity_1,39_Pleasantness_1,40_Arousal_1,40_Valence_1,40_Complexity_1,40_Pleasantness_1,41_Arousal_1,41_Valence_1,41_Complexity_1,41_Pleasantness_1,42_Arousal_1,42_Valence_1,42_Complexity_1,42_Pleasantness_1,43_Arousal_1,43_Valence_1,43_Complexity_1,43_Pleasantness_1,44_Arousal_1,44_Valence_1,44_Complexity_1,44_Pleasantness_1,45_Arousal_1,45_Valence_1,45_Complexity_1,45_Pleasantness_1,46_Arousal_1,46_Valence_1,46_Complexity_1,46_Pleasantness_1,47_Arousal_1,47_Valence_1,47_Complexity_1,47_Pleasantness_1,48_Arousal_1,48_Valence_1,48_Complexity_1,48_Pleasantness_1,49_Arousal_1,49_Valence_1,49_Complexity_1,49_Pleasantness_1,50_Arousal_1,50_Valence_1,50_Complexity_1,50_Pleasantness_1,51_Arousal_1,51_Valence_1,51_Complexity_1,51_Pleasantness_1,52_Arousal_1,52_Valence_1,52_Complexity_1,52_Pleasantness_1,53_Arousal_1,53_Valence_1,53_Complexity_1,53_Pleasantness_1,54_Arousal_1,54_Valence_1,54_Complexity_1,54_Pleasantness_1,55_Arousal_1,55_Valence_1,55_Complexity_1,55_Pleasantness_1,56_Arousal_1,56_Valence_1,56_Complexity_1,56_Pleasantness_1,57_Arousal_1,57_Valence_1,57_Complexity_1,57_Pleasantness_1,58_Arousal_1,58_Valence_1,58_Complexity_1,58_Pleasantness_1,59_Arousal_1,59_Valence_1,59_Complexity_1,59_Pleasantness_1,60_Arousal_1,60_Valence_1,60_Complexity_1,60_Pleasantness_1,61_Arousal_1,61_Valence_1,61_Complexity_1,61_Pleasantness_1,62_Arousal_1,62_Valence_1,62_Complexity_1,62_Pleasantness_1,63_Arousal_1,63_Valence_1,63_Complexity_1,63_Pleasantness_1,64_Arousal_1,64_Valence_1,64_Complexity_1,64_Pleasantness_1,65_Arousal_1,65_Valence_1,65_Complexity_1,65_Pleasantness_1,66_Arousal_1,66_Valence_1,66_Complexity_1,66_Pleasantness_1,67_Arousal_1,67_Valence_1,67_Complexity_1,67_Pleasantness_1,68_Arousal_1,68_Valence_1,68_Complexity_1,68_Pleasantness_1,69_Arousal_1,69_Valence_1,69_Complexity_1,69_Pleasantness_1,70_Arousal_1,70_Valence_1,70_Complexity_1,70_Pleasantness_1,71_Arousal_1,71_Valence_1,71_Complexity_1,71_Pleasantness_1,72_Arousal_1,72_Valence_1,72_Complexity_1,72_Pleasantness_1,73_Arousal_1,73_Valence_1,73_Complexity_1,73_Pleasantness_1,74_Arousal_1,74_Valence_1,74_Complexity_1,74_Pleasantness_1,75_Arousal_1,75_Valence_1,75_Complexity_1,75_Pleasantness_1,76_Arousal_1,76_Valence_1,76_Complexity_1,76_Pleasantness_1,77_Arousal_1,77_Valence_1,77_Complexity_1,77_Pleasantness_1,78_Arousal_1,78_Valence_1,78_Complexity_1,78_Pleasantness_1,79_Arousal_1,79_Valence_1,79_Complexity_1,79_Pleasantness_1,80_Arousal_1,80_Valence_1,80_Complexity_1,80_Pleasantness_1,81_Arousal_1,81_Valence_1,81_Complexity_1,81_Pleasantness_1,82_Arousal_1,82_Valence_1,82_Complexity_1,82_Pleasantness_1,83_Arousal_1,83_Valence_1,83_Complexity_1,83_Pleasantness_1,84_Arousal_1,84_Valence_1,84_Complexity_1,84_Pleasantness_1,85_Arousal_1,85_Valence_1,85_Complexity_1,85_Pleasantness_1,86_Arousal_1,86_Valence_1,86_Complexity_1,86_Pleasantness_1,87_Arousal_1,87_Valence_1,87_Complexity_1,87_Pleasantness_1,88_Arousal_1,88_Valence_1,88_Complexity_1,88_Pleasantness_1,90_Arousal_1,90_Valence_1,90_Complexity_1,90_Pleasantness_1,1_Object_Relatedness_1,2_Object_Relatedness_1,3_Object_Relatedness_1,4_Object_Relatedness_1,5_Object_Relatedness_1,6_Object_Relatedness_1,7_Object_Relatedness_1,8_Object_Relatedness_1,9_Object_Relatedness_1,10_Object_Relatedness_1,11_Object_Relatedness_1,12_Object_Relatedness_1,13_Object_Relatedness_1,14_Object_Relatedness_1,15_Object_Relatedness_1,16_Object_Relatedness_1,17_Object_Relatedness_1,18_Object_Relatedness_1,19_Object_Relatedness_1,20_Object_Relatedness_1,21_Object_Relatedness_1,22_Object_Relatedness_1,23_Object_Relatedness_1,24_Object_Relatedness_1,25_Object_Relatedness_1,26_Object_Relatedness_1,27_Object_Relatedness_1,28_Object_Relatedness_1,29_Object_Relatedness_1,30_Object_Relatedness_1,31_Object_Relatedness_1,32_Object_Relatedness_1,33_Object_Relatedness_1,34_Object_Relatedness_1,35_Object_Relatedness_1,36_Object_Relatedness_1,37_Object_Relatedness_1,38_Object_Relatedness_1,39_Object_Relatedness_1,40_Object_Relatedness_1,41_Object_Relatedness_1
70,-2,9,2,75,-3,9,1,70,0,7,5,70,2,9,8,60,-1,7,2,61,-1,8,4,70,-2,9,2,95,-4,8,1,75,-3,8,2,70,-1,5,3,80,-4,9,1,92,-4,9,1,60,2,4,7,0,0,3,4,40,1,8,4,90,-5,9,1,70,-2,9,2,92,-4,10,1,80,-2,9,1,80,-4,8,1,95,-5,10,1,0,0,6,5,0,0,0,2,0,0,0,5,0,0,3,2,20,2,5,6,0,0,7,5,0,0,7,5,50,0,7,7,51,0,7,7,10,0,8,6,0,0,7,5,70,1,8,6,60,0,8,5,50,0,9,7,81,2,9,7,70,3,9,8,20,1,2,5,0,0,3,5,0,0,6,5,70,0,0,7,0,0,3,5,80,3,9,8,0,0,2,5,30,1,6,7,0,0,6,5,10,0,6,6,0,0,2,5,0,0,2,5,0,0,3,7,0,0,1,5,1,0,2,5,0,0,1,5,0,0,1,5,0,0,0,5,0,0,2,5,0,0,1,5,0,0,6,5,50,0,5,5,0,0,0,5,10,1,1,5,30,1,2,7,0,0,6,5,10,2,6,6,0,0,6,5,0,0,5,5,0,0,3,5,50,3,9,8,70,2,6,7,0,0,0,5,0,0,1,5,0,0,2,5,0,0,0,1,0,0,1,5,70,1,6,7,10,0,0,7,0,0,6,5,60,-1,4,4,0,0,8,5,0,0,0,5,0,0,0,5,70,3,8,9,20,0,9,7,70,4,7,8,8,0,3,5,0,-2,8,2,20,1,5,5,0,0,7,6,0,0,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1
53,0,5,5,59,-1,4,5,51,0,5,6,68,-1,5,6,58,-2,4,4,50,0,7,6,53,0,5,6,51,0,6,6,50,-1,5,6,51,0,6,6,60,0,5,6,50,0,6,6,63,-2,5,6,65,-2,5,4,51,0,5,6,75,-3,8,2,51,0,5,5,65,-3,6,4,68,-1,6,5,56,-3,4,3,63,-1,4,6,51,-2,6,6,51,0,3,6,51,0,0,6,51,0,5,6,32,2,3,7,51,0,5,4,50,0,5,6,50,0,5,6,51,0,6,5,50,0,5,6,51,0,6,6,36,1,6,6,36,1,4,5,51,0,7,6,50,0,6,7,35,2,8,8,36,2,6,7,51,0,5,6,31,1,4,8,51,0,7,6,51,0,4,5,57,1,7,8,51,0,3,6,21,2,5,7,51,0,5,6,50,0,7,5,50,0,1,4,50,0,3,6,49,0,4,5,50,0,4,6,60,0,8,6,50,0,5,7,51,0,2,6,50,0,3,6,50,0,3,6,52,0,1,6,46,0,3,6,37,2,3,8,50,0,3,6,52,0,1,6,37,0,4,7,52,0,4,6,50,0,5,6,50,0,2,5,35,0,4,6,51,0,7,6,51,0,7,6,50,0,4,6,49,0,3,6,42,0,3,6,49,0,2,6,51,0,1,5,52,0,5,6,50,0,3,6,51,0,2,6,47,0,2,6,49,0,5,6,49,0,5,6,51,0,4,6,50,0,3,6,49,0,5,6,51,1,5,5,51,0,7,6,51,0,3,7,57,0,7,7,51,0,6,7,60,0,6,6,50,0,5,6,2,1,1,2,1,1,4,1,3,1,1,1,1,1,1,1,5,4,3,4,2,3,4,1,2,1,1,4,4,2,4,1,1,4,1,1,4,2,1,1,2
50,1,9,6,60,-5,10,1,70,-1,8,4,40,-3,5,2,70,-3,10,3,50,4,10,9,60,-4,8,2,50,1,8,5,60,-4,10,1,60,0,8,4,60,-4,8,1,50,1,8,5,80,-4,2,2,75,-4,2,1,70,-3,10,3,82,-5,4,1,40,-3,7,2,40,-1,5,3,40,-3,5,3,40,-2,2,1,90,-5,3,1,30,-4,4,2,70,-4,3,2,0,-2,1,1,30,1,10,4,51,2,8,6,40,3,10,8,60,5,10,10,50,3,8,8,60,2,8,8,60,5,10,10,50,1,8,7,40,0,7,5,30,1,8,6,50,5,10,10,60,-2,8,3,10,2,4,7,10,4,2,8,0,0,4,5,0,1,5,5,0,0,0,3,30,4,4,8,0,2,7,7,0,0,2,5,30,5,7,10,0,0,4,5,30,4,8,10,9,1,7,6,10,-2,7,3,60,5,3,10,0,0,0,5,20,-1,2,5,0,0,2,5,0,0,2,5,0,0,2,5,0,1,2,6,0,0,1,5,0,1,6,6,10,4,2,8,0,0,1,5,9,1,0,6,4,1,1,6,0,0,4,5,0,1,4,6,30,5,6,10,0,1,7,8,0,0,3,5,10,2,7,9,0,1,1,5,0,0,1,1,0,0,3,3,0,0,2,2,20,2,9,6,0,1,1,6,0,0,0,6,0,0,1,5,10,-3,7,3,0,0,2,1,0,0,4,5,20,3,1,8,0,0,1,2,20,4,5,10,10,-1,5,3,50,5,9,10,10,2,8,8,0,0,5,5,30,3,5,7,0,0,5,3,10,0,2,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,3,4,5,1,1,2,1,1,3,1,2,1,2
55,-2,4,2,80,-5,6,1,10,1,4,7,60,-5,2,1,80,-5,5,1,20,-1,4,4,70,-1,5,3,70,-1,7,2,76,-5,7,1,30,-2,4,3,85,-5,7,2,70,-2,6,1,60,-5,6,1,65,-3,6,2,80,-5,4,1,86,-5,6,1,40,-3,9,3,60,-3,4,1,70,-5,6,1,85,-5,6,1,70,-5,7,1,60,-5,8,2,60,-4,5,2,60,-3,2,2,60,-1,6,2,10,2,3,4,60,-3,6,2,10,3,5,5,80,-5,4,1,20,5,4,10,61,-1,6,3,40,1,6,7,9,1,4,7,0,1,5,6,0,-1,6,4,70,5,6,7,20,4,7,7,0,0,8,6,10,5,4,5,10,0,5,5,10,0,6,7,0,0,7,6,70,4,8,8,0,0,5,4,80,5,7,10,0,0,4,6,0,2,8,7,0,0,1,6,10,-2,3,4,0,0,1,5,35,-1,1,5,10,0,7,7,0,0,5,5,10,0,0,5,0,0,2,6,0,0,0,6,0,0,2,5,0,0,1,6,5,3,2,6,0,0,1,5,0,1,1,6,0,1,6,7,0,1,2,5,30,-1,6,3,10,5,5,10,0,0,3,5,10,1,6,5,10,3,8,7,20,-2,2,2,0,0,0,5,0,0,1,6,0,0,0,5,5,0,0,6,20,-2,3,4,0,0,2,5,0,0,0,6,0,0,1,6,0,0,0,6,0,0,3,6,0,0,0,5,0,0,1,6,20,4,6,8,60,0,7,6,70,5,10,10,0,1,4,6,30,-1,7,5,0,0,4,6,0,-1,6,2,20,-3,6,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1
92,-3,5,3,83,0,5,1,71,0,5,3,80,-4,9,1,51,0,5,5,51,0,5,5,95,-3,5,1,51,0,4,3,100,-5,5,6,80,-4,5,3,100,-5,9,1,100,0,5,4,51,0,5,6,51,0,5,5,51,0,5,3,100,-5,7,1,51,0,5,5,69,-4,5,1,83,-2,5,3,100,-5,1,1,100,-5,5,1,65,-3,5,3,77,0,5,3,51,0,5,5,51,0,5,5,19,3,1,8,51,0,5,5,51,0,5,5,51,0,5,5,51,0,5,6,51,0,5,4,51,0,5,5,51,0,5,5,2,0,5,1,81,0,5,1,51,0,5,5,51,0,5,5,51,0,5,5,51,0,5,5,20,2,5,6,51,0,5,5,51,0,5,5,51,0,9,5,52,0,5,2,51,0,5,5,84,0,8,4,51,0,5,5,51,0,5,5,51,0,5,5,11,0,5,8,51,0,5,5,51,0,5,3,51,0,5,6,51,0,0,1,51,0,5,5,51,0,5,6,51,0,5,6,51,0,5,6,0,0,5,5,51,0,5,5,9,2,1,8,51,0,5,5,51,0,5,4,51,0,5,5,0,5,0,9,51,0,5,5,51,0,5,6,51,0,5,6,51,-4,5,2,52,0,5,5,51,0,6,1,51,0,5,5,51,0,5,5,51,0,2,5,51,0,5,5,81,3,5,7,51,0,5,5,73,0,5,1,51,0,5,1,51,0,5,5,51,0,1,2,0,5,1,8,85,-4,8,1,51,0,5,5,51,0,5,2,52,0,5,6,51,0,5,5,0,0,5,1,51,0,5,3,3,1,1,2,1,1,1,1,2,3,2,1,1,2,1,1,2,3,3,2,3,1,3,1,4,1,2,1,3,2,1,2,1,1,1,1,2,1,1,2,2
83,-3,7,3,92,-4,7,2,93,-4,8,3,100,-5,6,1,99,-5,9,1,82,-2,7,3,97,-4,7,1,82,-2,8,3,87,-4,10,2,94,-4,9,1,92,-4,2,1,41,0,7,3,75,-2,1,2,67,-1,3,4,86,-3,8,2,100,-5,9,1,82,-3,8,2,71,-2,8,3,69,-3,4,3,86,-4,2,2,96,-4,4,1,65,-3,4,3,13,0,6,3,65,-3,2,1,28,-1,9,4,31,1,7,4,11,-2,9,4,50,2,7,6,5,3,7,5,98,4,7,8,51,1,8,5,30,1,7,6,9,-1,6,3,85,-3,7,2,72,2,8,8,96,-5,7,1,53,1,4,4,5,2,4,7,20,0,2,5,30,2,6,6,43,-1,3,3,32,1,3,6,51,0,8,4,19,-1,0,4,9,3,9,8,73,3,6,6,51,2,8,8,24,-1,8,4,20,0,7,3,23,1,6,5,11,3,3,5,7,-2,2,4,6,3,2,6,29,0,2,4,32,-1,3,4,20,1,3,5,23,2,5,6,73,-2,8,3,69,2,2,6,19,2,3,6,36,2,6,5,51,1,2,5,51,1,7,5,19,3,6,7,5,2,5,5,29,2,7,5,20,0,4,4,12,3,7,5,15,-2,3,3,51,2,2,5,25,1,6,4,0,0,3,5,15,0,6,5,2,1,1,3,9,0,1,6,12,0,1,5,30,2,7,5,15,0,2,4,29,4,7,8,63,3,2,7,33,2,5,5,60,3,4,5,4,1,7,4,78,2,10,7,92,5,4,8,65,3,9,6,71,3,7,6,22,0,7,5,26,1,1,5,4,2,1,1,1,2,3,1,2,1,2,1,1,2,1,1,4,2,3,2,1,2,4,1,2,1,1,3,5,4,5,1,1,4,1,1,4,3,1,3,1
40,-3,6,1,70,-5,8,1,40,-2,5,1,30,-2,6,1,51,-5,8,1,15,-1,7,1,50,-3,7,1,50,-2,10,1,60,-4,9,1,51,-3,6,1,40,-2,5,1,51,-2,6,1,30,-3,6,1,30,-2,5,1,30,-1,5,1,80,-5,10,1,71,-4,7,1,15,-5,5,1,75,-4,8,1,30,-4,8,1,80,-5,9,1,10,-1,4,1,0,0,2,1,20,0,4,1,0,-1,5,1,10,1,7,5,10,-2,6,1,0,3,9,8,10,0,7,1,30,2,5,5,0,0,3,1,10,0,9,2,0,0,7,2,0,0,6,1,30,1,8,4,10,0,7,2,0,0,7,2,0,0,5,1,0,0,6,1,0,0,6,6,0,0,5,1,0,1,6,4,10,0,10,1,0,0,4,1,30,4,9,8,0,0,7,3,0,0,10,2,0,0,2,1,0,0,1,1,0,0,4,1,0,0,2,1,50,3,9,5,0,0,4,1,0,0,1,1,0,0,3,1,0,0,2,1,0,0,3,1,5,0,4,1,0,0,3,2,0,0,1,1,0,1,1,4,20,3,6,6,0,0,3,1,10,2,8,7,15,4,5,8,0,0,5,1,0,0,7,1,0,0,8,1,0,0,3,1,0,0,2,1,0,0,5,1,0,0,2,1,0,0,2,1,0,0,3,1,0,0,4,1,0,0,1,1,0,0,3,1,0,0,5,1,0,0,8,1,0,0,2,3,0,0,2,1,0,1,8,3,10,0,10,1,40,4,10,8,0,1,7,2,10,0,10,1,20,1,5,3,0,0,8,3,0,0,6,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,3,1,1,1,1,1,1,1,1,1,2
53,-3,5,3,68,-5,9,1,34,-1,6,4,52,-4,8,1,61,-4,6,2,15,0,6,6,34,-3,6,2,65,-4,7,1,60,-5,6,1,62,-3,4,1,55,-3,6,2,44,-4,6,1,71,-4,6,1,46,-3,4,1,57,-4,7,2,65,-5,9,1,65,-4,9,1,56,-4,7,1,61,-5,7,1,72,-5,6,1,60,-5,7,1,55,-5,6,1,9,-1,4,4,6,0,2,5,35,-3,6,2,17,0,6,5,55,-2,4,1,24,0,7,6,43,2,6,7,25,1,6,6,23,0,6,6,13,-1,6,4,7,0,6,5,20,0,6,7,11,2,6,6,61,-1,9,4,19,4,6,8,10,0,6,5,14,0,3,5,5,4,5,8,14,-1,4,2,20,-1,6,4,10,1,7,6,4,0,5,5,44,2,8,7,12,2,5,6,10,-1,5,3,4,0,2,6,30,1,2,6,19,2,3,7,2,0,1,5,20,2,4,7,10,-2,4,4,3,1,2,6,3,0,4,5,4,-1,1,4,0,0,3,6,0,0,6,5,25,2,4,7,0,0,2,5,5,1,1,6,7,1,1,6,0,0,6,4,19,1,6,7,32,3,6,8,4,0,5,6,6,-1,2,5,8,3,7,8,5,0,1,6,2,0,1,4,44,0,6,6,15,-2,4,3,14,0,5,6,6,-1,2,4,5,-1,3,5,2,1,3,6,10,-1,4,5,39,-2,6,2,24,-3,7,3,2,2,3,7,3,0,3,6,36,-1,8,2,39,-2,7,3,9,3,7,8,7,0,3,6,19,1,6,7,6,0,4,6,27,2,8,7,10,-3,6,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,1,1,3,3,2,4,1,3,2,1,1,4,1,1,1,3
62,1,5,5,82,-4,9,2,65,1,7,7,79,-4,8,1,90,-5,9,2,69,2,6,7,66,-2,7,3,63,-2,6,5,90,-3,7,3,40,0,4,6,81,-3,4,2,60,-1,6,4,71,-2,7,2,75,-2,6,3,72,-3,8,3,100,-5,10,1,81,-3,8,3,82,-4,9,2,80,-3,8,3,88,-4,7,2,83,-3,8,2,70,-2,8,3,31,-1,4,4,30,-1,7,4,51,-1,7,3,65,1,6,6,66,-1,7,5,65,2,7,5,63,-1,7,4,33,0,4,6,36,-1,6,4,27,-2,3,6,60,1,6,7,28,-1,3,5,37,2,7,7,68,-2,8,4,26,0,4,6,39,2,6,6,16,0,3,6,13,1,4,5,33,-1,4,5,19,0,6,2,32,0,3,5,16,0,3,6,21,1,6,5,18,1,3,6,19,0,4,6,18,0,2,5,24,0,2,5,15,0,1,5,31,0,3,5,28,0,5,6,18,0,3,5,9,0,1,5,10,0,2,5,18,0,2,5,15,0,2,5,19,0,6,5,10,1,2,6,5,0,1,5,3,0,1,5,12,0,2,5,17,0,2,5,13,1,6,5,20,-1,6,5,17,0,3,5,24,0,6,5,25,1,6,5,13,0,1,5,7,0,1,5,19,0,4,5,7,0,0,5,13,0,2,6,32,0,3,6,13,0,2,5,13,0,2,5,21,0,2,5,22,0,3,6,28,0,4,6,0,0,0,6,41,1,5,5,25,1,4,6,61,1,6,6,32,1,6,6,21,0,2,6,41,1,7,5,10,0,2,6,39,-1,6,4,29,-1,4,6,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1,1,3,1,1,1,1
39,-2,6,1,73,-3,7,1,59,-2,5,2,51,0,3,1,72,-3,5,1,62,-2,7,5,59,-4,7,1,59,-5,6,1,95,-5,8,1,60,-2,4,1,70,-5,4,1,51,0,6,1,72,-5,1,1,79,-5,4,1,71,-4,3,1,99,-5,7,1,62,-3,6,1,61,-2,3,1,61,-4,2,1,41,-1,4,1,83,3,5,1,41,1,6,6,63,-2,3,1,51,1,4,3,48,0,7,4,51,0,4,1,41,-5,6,1,46,0,7,5,40,0,4,4,58,0,4,1,37,0,7,4,40,-1,6,3,51,0,3,2,40,-1,3,1,69,-4,5,3,58,-1,1,1,31,-1,4,5,49,-4,4,1,51,1,1,3,39,1,4,4,39,-1,0,1,51,0,2,3,51,-1,8,1,31,-1,1,1,19,1,5,3,57,0,2,3,45,0,3,4,51,0,7,5,33,-1,2,3,31,1,2,1,27,1,2,1,72,2,3,6,51,0,1,1,41,-1,1,1,32,0,2,2,51,0,0,1,39,0,2,3,62,-3,4,4,63,2,2,5,34,-1,4,1,51,0,0,2,51,-2,1,1,51,0,3,2,21,2,3,4,27,3,5,7,30,0,3,3,61,1,5,1,38,0,2,1,51,0,5,3,51,0,2,4,39,-1,3,1,61,0,2,4,51,0,5,1,40,-1,4,5,60,1,5,1,51,0,0,4,51,0,2,3,36,0,5,5,43,-1,4,1,41,1,2,2,41,0,2,3,51,1,4,3,57,-1,3,2,51,1,6,1,42,-2,3,1,40,-1,3,3,31,1,2,3,51,0,6,3,51,-2,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,2,1,1,3,1,1,1,1,4,4,2,4,1,2,2,1,1,1,1,2,1,2
85,2,7,6,90,-4,4,1,69,1,6,6,64,-1,9,4,100,-1,5,8,70,1,6,4,93,-4,5,2,100,5,9,10,100,1,6,9,75,-2,2,2,100,-5,6,1,92,-2,8,3,75,-2,5,5,100,-3,4,2,98,4,7,10,100,2,9,9,83,-2,7,3,100,-2,6,10,100,-2,8,9,91,2,7,3,100,-5,4,1,65,-2,7,2,13,0,1,2,9,-4,0,1,87,-3,5,2,15,1,2,4,59,-1,5,4,66,2,6,7,26,-1,4,3,24,1,3,7,75,1,6,7,35,-1,2,2,17,1,4,3,60,1,7,4,85,2,8,8,67,-1,6,2,71,2,2,5,86,2,6,8,60,2,4,4,24,0,5,2,66,2,8,5,56,3,8,9,92,5,8,10,13,0,3,3,65,3,7,8,65,2,3,6,79,2,10,9,56,-2,1,2,0,-2,3,2,5,-1,1,5,32,0,3,2,74,3,6,4,16,-1,3,3,35,0,1,2,21,0,1,2,0,0,0,1,18,-1,2,3,45,-2,4,3,77,3,4,8,0,0,0,2,20,3,0,5,66,2,6,8,21,0,3,2,59,1,8,6,64,3,3,4,18,0,4,3,37,-1,2,3,100,5,8,10,50,1,4,4,14,-2,1,1,26,-1,3,2,10,0,1,2,0,0,0,3,11,2,1,3,27,1,5,4,0,0,0,2,12,-1,1,1,63,-2,2,1,61,0,7,3,11,1,0,4,2,0,2,1,73,2,6,5,88,2,8,6,85,2,9,9,31,2,2,6,87,4,9,10,51,2,3,3,78,2,8,5,12,0,3,1,1,1,1,1,1,1,1,1,4,1,1,1,1,3,1,1,2,4,4,2,1,1,1,1,2,1,1,1,2,3,4,1,1,1,1,2,3,1,2,1,1
80,-4,4,1,73,-3,4,1,72,-3,6,1,73,-1,5,3,60,-3,4,2,73,-2,5,2,60,-2,4,3,70,-2,5,2,80,-5,7,1,19,-3,3,1,100,-5,2,1,81,-4,5,1,72,-4,3,1,60,-3,2,1,70,2,5,4,90,-5,7,2,60,-1,2,3,29,-2,4,4,90,-4,4,1,60,-2,2,2,72,-5,3,1,50,-3,3,1,30,1,3,5,30,-2,3,1,0,-1,3,1,20,2,5,5,51,-1,3,1,9,0,4,2,10,1,5,4,40,1,5,5,19,0,4,3,28,0,3,2,29,-2,3,2,51,-2,4,1,0,1,5,4,100,-5,4,1,50,3,4,6,60,2,3,5,9,0,1,4,0,2,3,4,40,-2,2,1,10,0,4,3,60,2,7,6,0,0,0,1,82,3,6,8,0,0,1,1,19,-1,2,3,0,0,0,1,0,1,3,3,1,0,1,2,0,0,0,1,51,0,2,2,0,0,0,2,0,0,0,2,0,0,0,1,9,0,0,2,0,0,0,1,0,0,0,1,20,0,0,1,0,0,0,1,9,0,0,1,21,2,1,5,0,0,1,1,0,0,0,1,10,0,2,4,0,0,2,1,0,0,0,1,70,4,7,7,0,0,1,2,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,2,0,-1,0,1,7,0,0,1,0,0,0,1,0,0,2,1,50,-2,1,1,0,0,1,1,0,0,0,1,0,0,0,1,40,0,2,6,40,2,5,5,40,2,5,5,0,0,0,1,60,1,6,6,19,1,4,4,20,1,4,4,31,-1,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,3,1,2,1,1,2,1,1,1,1,1
